Agrostis spp.,Agrostis canina,Alchemilla mollis,Alopercus pratensis,Angelica sylvestris,Anthoxanthum odoratum,Anthyllis vulneraria,Aphanes arvensis,Arrhenatherum elatius,Atrichum undulatum,Avenula pratensis,Bellis perennis,Betula pubescens,Blackstonia perfoliata,Brachythecium albicans,Brachythecium glareosum,Brachythecium mildeanum,Brachythecium rutabulum,Briza media,Bromus hordeaceus,Bryum c.f. caespiticium,Bryum c.f. pallescens,Bryum capillare,Bryum spp.,Calliergonella cupsidata,Calypogeia arguta,Campanula rotundifolia,Carex distans,Carex flacca,Carex panicea,Carlina vulgaris,Centaurea nigra,Centaurium erythraea,Centaurium littorale,Centaurium pulchellum,Cerastium fontanum,Chamaenerion angustifolium,Cirriphyllum piliferum,Cirsium arvense,Cirsium palustre,Crepis capillaris,Cynosurus cristatus,Dactylis glomerata,Dactylorhiza fuchsii,Danthonia decumbens,Daucus carrota,Dicranella spp.,Dicranum scoparium,Epilobium montanum,Equisetum arvense,Equisteum variegatum,Erigeron acer,Euphrasia agg,Festuca ovina,Festuca rubra,Festuca rubra agg.,Filipendula ulmaria,Fissidens adianthoides,Fissidens dubius,Fissidens exilis,Fragaria vesca,Galium aparine,Galium arvense,Galium saxatile,Galium verum,Geum urbanum,Glechoma hederacea,Helicotrichon spp.,Heracleum sphondylium,Hieracium spp.,Holcus spp.,Holcus lanatus,Holcus mollis,Homalothecium lutescens,Hylocomium splendens,Hypericum perforatum,Hypnum cupressiforme,Hypnum imponens,Hypnum jutlandicum,Hypochaeris radicata,Kindbergia praelonga,Lathyrus pratensis,Leontodon hispidus,Leontodon saxatilis,Leucanthemum vulgare,Linum catharticum,Lolium perenne,Lophocolea semiteres,Lotus corniculatus,Luzula multiflora,Lysimachia maritima,Medicago lupulina,Myosotis arvensis,Ononis repens,Oxalis acetosella,Pastinaca sativa,Pentaglottis sempervirens,Pillosella officinarum,Plantago coronopus,Plantago lanceolata,Pleurozium schreberi,Poa annua,Poa spp.,Polytrichum commune,Polytrichum commune agg.,Polytrichum formosum,Potentilla reptans,Prunella vulgaris,Pseudoscleropidum purum,Pteridium aquilinum,Ranunculus acris,Ranunculus parviflorus,Ranunculus repens,Reseda lutea,Rhinanthus minor,Rhizomnium punctatum,Rhytidadelphus squarrosus,Rhytidadelphus triquetris,Rubus fruticosus,Sanguisorba minor spp minor,Saniona uncinata,Sedum anglicum,Senecio jacobaea,Senecio vulgaris,Sonchus arvensis,Stachys sylvatica,Stellaria apetala,Taraxacum agg.,Thuidium tamariscinum,Thymus polytrichus,Trichostomum crispulum,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Trisetum flavescens,Tussilago farfara,Urtica diocia,Veronica officinalis,Vicia sativa,Viola riviniana,Weissia controversa,Zygodon stirtonii
0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,55,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,64,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,127,0,0,0,0,1,0,0,0,0,0,0,138,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,22,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,0,0,0,0,0,0
0,0,0,0,0,0,32,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,30,0,3,0,0,0,12,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,85,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,120,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,153,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,82,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,24,0,0,0,17,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
